product_id,product_name,category,price,quantity_sold,rating,stock_level,supplier_id,season,sales
1,Kitchen Product 1,Kitchen,160.05,197,2.2,38,SP026,Spring,25223
2,Beauty Product 2,Beauty,908.35,71,1.4,65,SP018,Spring,51594
3,Automotive Product 3,Automotive,999.11,7,4.1,87,SP012,Summer,5595
4,Kitchen Product 4,Kitchen,312.86,318,4.1,38,SP006,Winter,79591
5,Furniture Product 5,Furniture,509.13,371,1.5,93,SP009,Spring,151109
6,Sports Product 6,Sports,983.05,163,3.8,63,SP007,Fall,128189
7,Books Product 7,Books,168.16,280,1.9,40,SP041,Summer,37667
8,Home Decor Product 8,Home Decor,70.51,6,2.4,31,SP017,Summer,338
9,Home Decor Product 9,Home Decor,143.31,361,4.7,28,SP040,Fall,41387
10,Books Product 10,Books,363.92,357,4.8,15,SP001,Fall,103935
11,Clothing Product 11,Clothing,675.18,55,3.2,84,SP021,Winter,29707
12,Home Decor Product 12,Home Decor,519.62,86,3.4,2,SP026,Spring,35749
13,Furniture Product 13,Furniture,416.88,431,3.6,89,SP044,Spring,143740
14,Sports Product 14,Sports,332.83,13,4.3,46,SP017,Summer,3461
15,Garden Product 15,Garden,267.72,483,4.8,4,SP046,Winter,103447
16,Furniture Product 16,Furniture,408.54,177,5,25,SP022,Winter,57849
17,Toys Product 17,Toys,625.18,77,1.1,10,SP036,Fall,38511
18,Books Product 18,Books,91.08,441,2.7,32,SP004,Spring,32133
19,Garden Product 19,Garden,709.29,48,3.3,8,SP038,Summer,27236
20,Kitchen Product 20,Kitchen,337.14,468,3.6,64,SP047,Winter,126225
21,Home Appliances Product 21,Home Appliances,786.29,343,4.8,5,SP048,Summer,215757
22,Clothing Product 22,Clothing,500.51,228,4.2,13,SP037,Winter,91293
23,Kitchen Product 23,Kitchen,725.63,156,1.1,69,SP007,Summer,90558
24,Kitchen Product 24,Kitchen,265.47,340,2.6,20,SP013,Spring,72207
25,Kitchen Product 25,Kitchen,846.13,349,1.9,35,SP031,Fall,236239
26,Garden Product 26,Garden,897.22,107,1.7,95,SP031,Spring,76802
27,Toys Product 27,Toys,67.42,133,2.3,21,SP012,Summer,7173
28,Sports Product 28,Sports,240.84,390,1.1,19,SP015,Winter,75142
29,Electronics Product 29,Electronics,190.61,1,1.2,16,SP008,Fall,152
30,Beauty Product 30,Beauty,181.5,229,4.3,45,SP014,Winter,33250
31,Home Decor Product 31,Home Decor,476.78,431,3.6,87,SP010,Spring,164393
32,Automotive Product 32,Automotive,536.77,171,3,80,SP022,Winter,73430
33,Automotive Product 33,Automotive,194.08,52,4.8,28,SP050,Fall,8073
34,Home Appliances Product 34,Home Appliances,121.33,388,1.5,27,SP021,Spring,37660
35,Automotive Product 35,Automotive,859.26,272,3.2,66,SP023,Winter,186974
36,Clothing Product 36,Clothing,633.35,209,2.7,61,SP007,Winter,105896
37,Books Product 37,Books,811.82,282,1.5,87,SP023,Winter,183146
38,Toys Product 38,Toys,677.34,488,2.5,64,SP015,Fall,264433
39,Clothing Product 39,Clothing,439.94,46,4,81,SP037,Spring,16189
40,Home Decor Product 40,Home Decor,1001.87,17,4.7,0,SP040,Fall,13625
41,Clothing Product 41,Clothing,796.83,470,4.1,32,SP017,Spring,299608
42,Kitchen Product 42,Kitchen,430.7,306,2.2,62,SP021,Summer,105435
43,Electronics Product 43,Electronics,186.88,433,2.9,35,SP031,Fall,64735
44,Furniture Product 44,Furniture,438.22,277,1.9,47,SP024,Fall,97109
45,Automotive Product 45,Automotive,201.24,225,1.1,62,SP041,Summer,36223
46,Home Appliances Product 46,Home Appliances,666.72,287,2.6,18,SP018,Summer,153078
47,Home Appliances Product 47,Home Appliances,971.85,78,3.4,80,SP043,Winter,60643
48,Clothing Product 48,Clothing,161.94,243,2,19,SP039,Winter,31481
49,Beauty Product 49,Beauty,381.83,490,2.7,51,SP015,Fall,149677
50,Electronics Product 50,Electronics,253.9,99,4.1,52,SP038,Fall,20108
51,Clothing Product 51,Clothing,803.51,73,1.9,80,SP022,Fall,46924
52,Home Appliances Product 52,Home Appliances,268.61,17,4.7,7,SP044,Summer,3653
53,Home Decor Product 53,Home Decor,327.7,115,4,45,SP010,Spring,30148
54,Toys Product 54,Toys,663.51,228,1,91,SP002,Spring,121024
55,Home Decor Product 55,Home Decor,773.29,156,2.8,36,SP039,Fall,96506
56,Garden Product 56,Garden,739.75,254,2.4,51,SP029,Summer,150317
57,Home Decor Product 57,Home Decor,302.16,422,2.9,93,SP017,Fall,102009
58,Books Product 58,Books,113.64,53,2.3,12,SP041,Summer,4818
59,Electronics Product 59,Electronics,513.12,28,1.7,49,SP019,Fall,11493
60,Home Appliances Product 60,Home Appliances,147.72,241,1.6,87,SP030,Summer,28480
61,Automotive Product 61,Automotive,705.26,498,1.8,41,SP022,Winter,280975
62,Toys Product 62,Toys,202.72,88,3,11,SP034,Winter,14271
63,Electronics Product 63,Electronics,706.93,186,1.1,27,SP008,Winter,105191
64,Toys Product 64,Toys,904.04,283,2.6,20,SP042,Summer,204674
65,Clothing Product 65,Clothing,746.96,322,3,86,SP031,Summer,192416
66,Automotive Product 66,Automotive,752.54,489,3.4,23,SP006,Spring,294393
67,Kitchen Product 67,Kitchen,385.96,233,4.5,54,SP047,Spring,71942
68,Automotive Product 68,Automotive,470.63,283,4.3,99,SP005,Summer,106550
69,Garden Product 69,Garden,593.36,486,1.5,98,SP031,Winter,230698
70,Kitchen Product 70,Kitchen,260.92,326,4.4,56,SP032,Summer,68047
71,Beauty Product 71,Beauty,829.44,125,2,83,SP009,Winter,82944
72,Books Product 72,Books,434.87,321,4.1,57,SP002,Spring,111674
73,Electronics Product 73,Electronics,993.82,60,1.3,77,SP003,Winter,47703
74,Home Appliances Product 74,Home Appliances,974.22,347,4,81,SP021,Winter,270443
75,Furniture Product 75,Furniture,129.43,327,3,80,SP008,Fall,33858
76,Automotive Product 76,Automotive,773.84,55,2.3,66,SP035,Summer,34048
77,Automotive Product 77,Automotive,909.83,218,1.5,80,SP046,Spring,158674
78,Clothing Product 78,Clothing,846.12,371,2.3,34,SP036,Fall,251128
79,Sports Product 79,Sports,49.7,22,1.7,31,SP006,Fall,874
80,Home Appliances Product 80,Home Appliances,705.93,278,2,45,SP039,Winter,156998
81,Books Product 81,Books,569.92,58,4.3,75,SP043,Fall,26444
82,Electronics Product 82,Electronics,958,484,2.2,42,SP011,Fall,370937
83,Clothing Product 83,Clothing,525.51,26,1.3,19,SP043,Spring,10930
84,Electronics Product 84,Electronics,510.92,470,2.9,76,SP034,Summer,192105
85,Beauty Product 85,Beauty,570.24,87,2.5,93,SP022,Summer,39688
