order_id,product_id,distance_km,delivery_time_hours,traffic_level,weather_condition,season
1001,135,79,142,moderate,rainy,Spring
1002,503,13,31,moderate,stormy,Fall
1003,71,82,148,moderate,rainy,Winter
1004,513,26,62,moderate,stormy,Fall
1005,495,100,96,light,cloudy,Spring
1006,108,59,142,moderate,stormy,Fall
1007,366,51,82,light,stormy,Summer
1008,392,46,74,light,stormy,Fall
1009,64,17,31,moderate,rainy,Summer
1010,492,84,202,heavy,rainy,Spring
1011,788,16,51,heavy,stormy,Summer
1012,642,27,32,light,rainy,Spring
1013,614,56,101,moderate,rainy,Spring
1014,685,48,86,moderate,rainy,Fall
1015,649,20,29,moderate,cloudy,Spring
1016,649,92,294,heavy,stormy,Fall
1017,257,61,73,light,rainy,Summer
1018,696,101,162,heavy,clear,Fall
1019,133,29,35,moderate,clear,Winter
1020,13,9,29,heavy,stormy,Fall
1021,853,53,95,moderate,rainy,Fall
1022,8,83,80,light,cloudy,Spring
1023,134,41,131,heavy,stormy,Summer
1024,770,80,256,heavy,stormy,Spring
1025,52,79,190,moderate,stormy,Fall
1026,594,11,26,heavy,rainy,Spring
1027,38,27,43,light,stormy,Winter
1028,324,50,160,heavy,stormy,Fall
1029,468,45,72,light,stormy,Winter
1030,673,25,30,moderate,clear,Winter
1031,286,60,48,light,clear,Summer
1032,289,22,53,moderate,stormy,Winter
1033,362,40,96,moderate,stormy,Summer
1034,267,30,58,heavy,cloudy,Summer
1035,604,26,62,moderate,stormy,Fall
1036,743,29,56,heavy,cloudy,Spring
1037,760,19,23,moderate,clear,Winter
1038,486,39,94,moderate,stormy,Spring
1039,474,30,29,light,cloudy,Spring
1040,884,67,161,moderate,stormy,Spring
1041,220,30,48,light,stormy,Fall
1042,697,66,106,heavy,clear,Winter
1043,944,45,72,light,stormy,Spring
1044,344,97,155,heavy,clear,Summer
1045,75,6,6,light,cloudy,Fall
1046,526,30,58,heavy,cloudy,Fall
1047,503,13,25,heavy,cloudy,Spring
1048,497,60,58,light,cloudy,Summer
1049,152,99,238,moderate,stormy,Fall
1050,884,79,95,moderate,clear,Winter
1051,219,47,75,light,stormy,Winter
1052,612,5,6,moderate,clear,Winter
1053,444,33,32,light,cloudy,Winter
1054,123,23,55,moderate,stormy,Spring
1055,594,8,6,light,clear,Summer
1056,583,81,130,light,stormy,Summer
1057,743,97,175,moderate,rainy,Spring
1058,878,22,70,heavy,stormy,Summer
1059,55,95,152,heavy,clear,Fall
1060,920,73,175,heavy,rainy,Winter
1061,774,15,14,light,cloudy,Spring
1062,611,66,211,heavy,stormy,Fall
1063,597,37,118,heavy,stormy,Summer
1064,111,96,154,heavy,clear,Fall
1065,376,94,226,heavy,rainy,Winter
1066,898,96,154,heavy,clear,Fall
1067,118,40,77,heavy,cloudy,Fall
1068,143,36,65,moderate,rainy,Summer
1069,909,41,49,light,rainy,Winter
1070,598,80,256,heavy,stormy,Fall
1071,552,100,240,moderate,stormy,Fall
1072,208,63,76,light,rainy,Winter
1073,574,97,116,light,rainy,Summer
1074,442,26,83,heavy,stormy,Winter
1075,850,86,103,light,rainy,Spring
1076,451,36,52,moderate,cloudy,Summer
1077,153,104,187,moderate,rainy,Winter
1078,446,5,12,moderate,stormy,Spring
1079,230,97,233,heavy,rainy,Winter
1080,156,26,62,heavy,rainy,Summer
1081,616,25,30,light,rainy,Fall
1082,295,93,112,light,rainy,Fall
1083,405,25,24,light,cloudy,Spring
1084,171,43,103,heavy,rainy,Winter
1085,553,55,132,moderate,stormy,Summer
1086,778,21,30,moderate,cloudy,Spring
1087,746,99,119,light,rainy,Spring
1088,812,90,216,moderate,stormy,Summer
1089,48,99,119,light,rainy,Winter
1090,213,6,14,moderate,stormy,Winter
1091,401,27,22,light,clear,Winter
1092,189,63,113,moderate,rainy,Summer
1093,832,6,6,light,cloudy,Winter
1094,553,81,146,moderate,rainy,Fall
1095,173,84,134,heavy,clear,Fall
1096,763,32,61,heavy,cloudy,Fall
1097,224,41,66,light,stormy,Winter
1098,43,9,17,heavy,cloudy,Summer
1099,578,29,70,moderate,stormy,Winter
1100,1000,72,104,moderate,cloudy,Spring
1101,462,46,66,moderate,cloudy,Spring
1102,255,68,122,moderate,rainy,Winter
1103,94,37,89,moderate,stormy,Fall
1104,764,5,6,moderate,clear,Summer
1105,959,6,6,light,cloudy,Summer
1106,595,84,202,heavy,rainy,Fall
1107,893,42,67,light,stormy,Fall
1108,308,82,197,heavy,rainy,Winter
1109,445,76,182,heavy,rainy,Winter
1110,631,12,10,light,clear,Fall
1111,574,18,43,heavy,rainy,Fall
1112,543,76,182,heavy,rainy,Fall
