date,product_id,units_sold,revenue,discount_applied,promotion_type,season
2025-01-01,537,62,47952.04,0,bundle,Summer
2025-01-01,862,30,11965.8,0,clearance,Summer
2025-01-01,963,59,54969.71,0,sale,Summer
2025-01-01,982,5,332.45,0,none,Spring
2025-01-01,199,96,78613.44,0,clearance,Fall
2025-01-01,380,58,5094.14,0,sale,Winter
2025-01-01,678,56,760.48,0,bundle,Summer
2025-01-01,879,74,57095.44,0,none,Fall
2025-01-01,485,14,3932.32,0,sale,Winter
2025-01-01,463,28,16276.12,0.11,bundle,Summer
2025-01-01,152,11,6867.19,0,none,Fall
2025-01-01,293,66,32194.8,0.2,sale,Fall
2025-01-01,57,51,7793.31,0.17,none,Summer
2025-01-01,190,1,561.31,0.07,bundle,Summer
2025-01-01,796,99,20490.03,0,clearance,Spring
2025-01-01,766,42,8183.28,0,sale,Spring
2025-01-01,912,82,52003.58,0,sale,Summer
2025-01-01,341,87,78743.7,0,sale,Fall
2025-01-01,228,6,2958.84,0,sale,Spring
2025-01-01,617,80,8056,0,clearance,Winter
2025-01-01,178,93,5305.65,0.07,none,Fall
2025-01-01,165,50,19306.5,0.08,clearance,Winter
2025-01-01,619,26,15106,0.15,sale,Winter
2025-01-01,580,64,16622.08,0.28,clearance,Fall
2025-01-01,899,29,13770.36,0,bundle,Winter
2025-01-01,209,39,26063.7,0,none,Fall
2025-01-01,973,81,65070.54,0,clearance,Spring
2025-01-01,297,14,7959.42,0,bundle,Spring
2025-01-01,691,41,29566.74,0,none,Fall
2025-01-01,946,52,38810.72,0,none,Fall
2025-01-01,582,82,19220.8,0,bundle,Fall
2025-01-01,928,44,11758.56,0,sale,Fall
2025-01-01,817,72,49137.84,0,clearance,Winter
2025-01-01,952,52,18188.04,0,bundle,Fall
2025-01-01,544,61,16487.69,0,none,Fall
2025-01-01,134,62,39254.68,0.17,none,Summer
2025-01-01,236,85,7578.6,0,bundle,Fall
2025-01-01,555,22,12386.44,0,bundle,Spring
2025-01-01,420,98,2669.52,0,clearance,Spring
2025-01-01,863,78,40823.64,0,bundle,Winter
2025-01-01,647,1,893.22,0,sale,Spring
2025-01-01,70,46,21720.74,0.17,sale,Fall
2025-01-01,992,80,20000,0,sale,Spring
2025-01-01,329,12,780.84,0,none,Fall
2025-01-01,376,46,28042.06,0,bundle,Summer
2025-01-01,793,63,35458.92,0,clearance,Summer
2025-01-01,422,2,1930.14,0.05,none,Summer
2025-01-01,999,30,22464,0,bundle,Fall
2025-01-01,883,21,17833.41,0,clearance,Spring
2025-01-01,758,31,27139.57,0,bundle,Winter
2025-01-01,623,26,20149.74,0.07,sale,Fall
2025-01-01,550,79,28436.84,0,bundle,Winter
2025-01-01,602,18,12554.28,0,clearance,Spring
2025-01-01,504,96,64385.28,0,sale,Fall
2025-01-01,873,79,34800.29,0,bundle,Winter
2025-01-01,172,25,7740,0,none,Winter
2025-01-01,433,91,12901.07,0.11,sale,Fall
2025-01-01,259,65,30852.25,0,none,Spring
2025-01-01,439,72,24381.36,0,bundle,Spring
2025-01-01,136,14,12346.46,0,sale,Summer
2025-01-01,193,11,3601.95,0.28,none,Winter
2025-01-01,90,9,7766.37,0,clearance,Summer
2025-01-01,829,31,23541.4,0,sale,Winter
2025-01-01,892,86,8888.96,0,none,Fall
2025-01-01,573,75,62733,0,clearance,Winter
2025-01-01,741,57,6077.34,0.07,sale,Winter
2025-01-01,957,72,65304,0,none,Summer
2025-01-01,644,26,13250.38,0,none,Summer
2025-01-01,646,78,42998.28,0,none,Summer
2025-01-01,433,98,66596.88,0,bundle,Winter
2025-01-01,113,30,2097,0,sale,Spring
2025-01-01,856,67,21261.11,0,clearance,Spring
2025-01-01,195,27,11023.83,0,none,Winter
2025-01-01,929,10,9540.7,0,sale,Summer
2025-01-01,508,89,64171.67,0,none,Winter
2025-01-01,196,46,7673.72,0,bundle,Summer
2025-01-01,600,83,10643.09,0,none,Fall
2025-01-01,971,57,25685.91,0,bundle,Winter
2025-01-01,475,31,11446.13,0,sale,Summer
2025-01-01,195,23,8029.07,0,clearance,Spring
2025-01-01,759,68,1696.6,0,sale,Fall
2025-01-01,194,10,2898.3,0.28,sale,Spring
2025-01-01,757,93,88156.56,0,none,Summer
2025-01-01,261,73,44961.43,0,none,Fall
2025-01-01,781,85,61695.55,0.26,bundle,Spring
2025-01-01,522,3,214.26,0,sale,Spring
2025-01-01,585,91,45423.56,0,sale,Fall
2025-01-01,310,70,15985.2,0.21,bundle,Spring
2025-01-01,809,46,35419.08,0.26,none,Winter
2025-01-01,115,83,24778.82,0,none,Fall
2025-01-01,118,39,3670.29,0.23,sale,Fall
2025-01-01,651,93,20306.55,0,none,Winter
2025-01-01,777,25,10076.5,0,sale,Spring
2025-01-01,70,60,6010.2,0,bundle,Spring
2025-01-01,236,57,8250.75,0.15,none,Fall
2025-01-01,373,67,38151.14,0.08,bundle,Fall
2025-01-01,835,84,46376.4,0,bundle,Summer
2025-01-01,76,26,10232.3,0,none,Summer
2025-01-01,838,54,41705.28,0,sale,Fall
2025-01-01,660,87,60834.75,0.2,none,Spring
2025-01-02,952,66,41562.84,0,bundle,Summer
2025-01-02,135,81,52098.39,0,clearance,Spring
2025-01-02,583,90,80443.8,0.03,none,Winter
2025-01-02,528,43,31038.26,0,sale,Fall
2025-01-02,959,64,28080,0,none,Winter
2025-01-02,81,71,49675.15,0,bundle,Fall
2025-01-02,899,21,6902.7,0,clearance,Spring
2025-01-02,230,49,46700.43,0,sale,Fall
2025-01-02,19,68,21310.52,0,bundle,Spring
2025-01-02,350,32,23728.32,0.08,sale,Summer
2025-01-02,690,9,4212,0.21,bundle,Fall
2025-01-02,832,29,3756.95,0,clearance,Fall
2025-01-02,6,94,67559.68,0,sale,Summer
2025-01-02,504,23,5468.94,0,bundle,Fall
2025-01-02,734,82,45165.6,0,bundle,Spring
2025-01-02,763,11,8921.55,0,none,Spring
2025-01-02,543,42,23997.96,0,sale,Spring
2025-01-02,857,32,18581.44,0,sale,Summer
2025-01-02,809,48,24523.2,0,sale,Winter
2025-01-02,780,9,8779.05,0.11,none,Fall
2025-01-02,291,5,4339.25,0.25,sale,Summer
2025-01-02,17,7,3709.3,0,sale,Winter
2025-01-02,666,22,16593.94,0,bundle,Fall
2025-01-02,129,91,6122.48,0,bundle,Summer
2025-01-02,851,52,42354.52,0,bundle,Fall
2025-01-02,486,17,4455.36,0,bundle,Winter
2025-01-02,848,64,21944.32,0,sale,Spring
2025-01-02,155,9,3890.79,0,none,Summer
2025-01-02,413,25,19924,0.17,clearance,Winter
2025-01-02,390,28,22399.44,0,none,Winter
2025-01-02,675,35,7585.55,0,clearance,Fall
2025-01-02,248,48,21433.92,0,bundle,Spring
2025-01-02,65,57,45128.61,0,bundle,Fall
2025-01-02,768,76,53266.12,0,sale,Spring
2025-01-02,159,56,46370.24,0,clearance,Fall
2025-01-02,858,16,8779.68,0,bundle,Spring
2025-01-02,551,29,16648.32,0,none,Spring
2025-01-02,96,54,43230.78,0,sale,Fall
2025-01-02,828,17,4991.88,0,bundle,Summer
2025-01-02,799,11,6484.17,0,bundle,Fall
2025-01-02,602,45,23260.95,0,bundle,Fall
2025-01-02,458,44,20951.04,0,clearance,Summer
2025-01-02,603,39,18228.99,0,sale,Summer
2025-01-02,299,59,56876.59,0,bundle,Winter
2025-01-02,152,47,33907.21,0,bundle,Winter
2025-01-02,233,14,4213.3,0,clearance,Winter
2025-01-02,842,28,2924.6,0,none,Fall
2025-01-02,353,35,34693.05,0,none,Fall
2025-01-02,109,100,98640,0,sale,Fall
2025-01-02,68,71,21685.53,0,none,Winter
2025-01-02,420,13,12845.3,0,sale,Summer
2025-01-02,510,35,22592.85,0,sale,Spring
2025-01-02,321,75,11336.25,0.05,clearance,Spring
2025-01-02,790,11,5335.77,0.3,none,Fall
2025-01-02,523,10,8698,0.11,sale,Summer
2025-01-02,260,60,37205.4,0,clearance,Summer
2025-01-02,484,97,56766.34,0,bundle,Spring
2025-01-02,373,64,28972.8,0,clearance,Winter
2025-01-02,117,91,52824.59,0.02,bundle,Winter
2025-01-02,232,22,19248.24,0,sale,Summer
2025-01-02,921,30,19437,0,bundle,Fall
2025-01-02,389,59,12087.92,0.17,clearance,Summer
2025-01-02,845,64,26523.52,0,bundle,Spring
2025-01-02,976,2,431.26,0.18,bundle,Summer
2025-01-02,181,76,51420.84,0,sale,Fall
2025-01-02,148,66,27320.7,0,bundle,Fall
2025-01-02,716,50,32187,0,sale,Spring
